Height,Shoesize,Armspan,Cubit,Attract,CDs,Miles,Work,Change,Sex,Live,Class,Birth,Grade,Tongue
61.25,7,61.5,,5,61,2,0,20.2,f,apartment,Junior,Not U.S.,A,yes
67,10,63,,6,,1,0,20,f,apartment,Junior,Not U.S.,A,yes
62,9.5,58,,7,50,20,15,0.75,f,family home,Other,Not U.S.,A,yes
66.5,12.25,65.75,,7,20,15,14,0,m,campus housing,Freshman,Kent County,B,yes
66.5,11,66.5,17.5,7,30,1,6.5,0.04,f,campus housing,Sophomore,Kent County,B,yes
66.5,12.25,67,,6,150,0,0,0,f,campus housing,Sophomore,Kent County,B,yes
66.25,10.5,67,15.5,7,30,1,20,0,f,apartment,Sophomore,Kent County,B,yes
77,14,80,,10,15,6,10,0,m,apartment,Sophomore,Kent County,B,yes
64,9,63,,7,18,25,12,0,f,family home,Sophomore,Kent County,B,yes
67,9.5,64,,6,10,20,26,0,f,family home,Sophomore,Kent County,B,yes
63.25,10,60,14.2,7,50,25,22.5,2,f,family home,Sophomore,Kent County,B,yes
62,10.25,61,17,4,0,0.15,0,1.07,f,family home,Sophomore,Kent County,B,yes
62.5,11,62,,6,45,27,20,1.39,f,family home,Sophomore,Kent County,B,yes
64,12,64,,8,25,15,0,0,m,family home,Sophomore,Kent County,B,yes
69.75,12,70.5,,6,20,8,35,0,m,family home,Sophomore,Kent County,B,yes
72,12,66,,6,10,35,25,0.85,m,family home,Sophomore,Kent County,B,yes
74.25,13,76,,8,5,6,35,0,m,family home,Sophomore,Kent County,B,yes
69.5,11.25,67.25,,7,20,1,20,0,f,,Sophomore,Kent County,B,yes
63,8.5,59.375,,6,120,0,0,1.3,f,campus housing,Junior,Kent County,B,yes
74.75,13,74.5,,7,10,40,0,0.43,m,campus housing,Junior,Kent County,B,yes
66,8.5,67,,7.5,15,5,35,27,f,apartment,Junior,Kent County,B,yes
61.75,9.25,64.25,,7,30,15,20,1.3,f,apartment,Junior,Kent County,B,yes
68,10,65.5,,7,72,0.5,15,0,f,apartment,Junior,Kent County,B,yes
64,9.5,60,17,5,2,35,20,0,f,family home,Junior,Kent County,B,yes
64,10.5,66,,7,40,6,14,0.83,f,family home,Junior,Kent County,B,yes
58,11.75,58,18,7,20,,0,0,f,family home,Junior,Kent County,B,yes
66,10.5,64.75,,5,30,7,15,3.37,f,apartment,Senior,Kent County,B,yes
75,13.5,76,,6,5,25,27,4,m,family home,Senior,Kent County,B,yes
66.25,8.5,65.5,,7,50,0,20,0,f,campus housing,Freshman,Ottawa County,B,yes
70.25,10.25,74,,8,30,6,28,0.42,f,family home,Freshman,Ottawa County,B,yes
70.5,14.5,70,,6,30,13,15,0.2,m,family home,Freshman,Ottawa County,B,yes
62.5,10.25,64.25,,5,15,0,16.5,0.4,f,campus housing,Sophomore,Ottawa County,B,yes
